type,To,Sched.,From,Est.,platform,cancelled,cancel_reason,delay_reason,Additional info
Arrival,Perth,15:03,Inverness,15:05,4,,,,
Arrival,Perth,15:12,Edinburgh,On time,6,,,,
Arrival,Perth,15:16,Aberdeen,On time,1,,,,
Arrival,Perth,15:23,Glasgow Queen Street,On time,2,,,,
Arrival,Perth,15:36,Glasgow Queen Street,On time,2,,,,
Arrival,Perth,15:39,Dundee,On time,1,,,,
Arrival,Perth,16:04,Glasgow Queen Street,On time,7,,,,
Arrival,Perth,16:12,Aberdeen,On time,1,,,,
Arrival,Perth,16:13,Edinburgh,On time,5,,,,
Arrival,Perth,16:20,Glasgow Queen Street,On time,2,,,,
Arrival,Dundee,15:06,Aberdeen,15:08,1,,,,
Arrival,Dundee,15:09,Glasgow Queen Street,15:05,4,,,,
Arrival,Dundee,15:27,Edinburgh,On time,2,,,,
Arrival,Dundee,15:47,London Kings Cross,On time,4,,,,
Arrival,Dundee,15:50,Aberdeen,On time,1,,,,
Arrival,Dundee,15:52,Glasgow Queen Street,On time,3,,,,
Arrival,Dundee,16:02,Glasgow Queen Street,On time,4,,,,
Arrival,Dundee,16:08,Aberdeen,On time,1,,,,
Arrival,Dundee,16:23,Edinburgh,On time,2,,,,
Arrival,Dundee,16:40,Edinburgh,On time,4,,,,
Arrival,Aberdeen,15:15,Inverurie,On time,,,,,
Arrival,Aberdeen,15:22,Glasgow Queen Street,On time,5,,,,
Arrival,Aberdeen,15:39,Inverurie,On time,7N,,,,
Arrival,Aberdeen,15:41,Montrose,On time,,,,,
Arrival,Aberdeen,15:57,Edinburgh,On time,,,,,
Arrival,Aberdeen,16:15,Inverurie,On time,,,,,
Arrival,Aberdeen,16:26,Glasgow Queen Street,On time,,,,,
Arrival,Aberdeen,16:41,Inverness,On time,,,,,
Arrival,Aberdeen,16:45,Montrose,On time,,,,,
Arrival,Inverness,15:10,Elgin,15:06,1,,,,
Arrival,Inverness,15:29,Glasgow Queen Street,15:47,,,,This train has been delayed by a fault on this train,This train has been delayed by a fault on this train
Arrival,Inverness,15:58,Aberdeen,On time,,,,,
Arrival,Inverness,16:27,Kyle of Lochalsh,On time,,,,,
Arrival,Inverness,16:46,Invergordon,On time,,,,,
Arrival,Inverness,17:02,Edinburgh,On time,,,,,
