type,station,std,destination,etd,platform,cancelled,cancel_reason,delay_reason
Departure,Perth,14:21,Glasgow Queen Street,14:23,1,,,
Departure,Perth,14:22,Dundee,On time,2,,,
Departure,Perth,14:27,Edinburgh,On time,6,,,
Departure,Perth,14:40,Glasgow Queen Street,On time,1,,,
Departure,Perth,14:41,Aberdeen,On time,2,,,
Departure,Perth,14:50,Inverness,On time,7,,,
Departure,Perth,15:07,Edinburgh,On time,4,,,
Departure,Perth,15:19,Glasgow Queen Street,On time,1,,,
Departure,Perth,15:24,Dundee,On time,2,,,
Departure,Perth,15:25,Edinburgh,On time,6,,,
Departure,Dundee,14:14,Glasgow Queen Street,On time,2,,,
Departure,Dundee,14:19,Edinburgh,On time,1,,,
Departure,Dundee,14:40,Edinburgh,On time,3,,,
Departure,Dundee,14:44,Aberdeen,On time,4,,,
Departure,Dundee,14:56,Glasgow Queen Street,On time,1S,,,
Departure,Dundee,15:10,Edinburgh,On time,1S,,,
Departure,Dundee,15:14,Aberdeen,On time,4,,,
Departure,Dundee,15:15,Glasgow Queen Street,On time,3,,,
Departure,Dundee,15:32,Arbroath,On time,1N,,,
Departure,Dundee,15:43,Edinburgh,On time,2,,,
Departure,Aberdeen,14:35,Glasgow Queen Street,On time,4,,,
Departure,Aberdeen,14:36,Inverurie,On time,6N,,,
Departure,Aberdeen,14:52,London Kings Cross,On time,,,,
Departure,Aberdeen,15:04,Inverurie,On time,,,,
Departure,Aberdeen,15:17,Montrose,On time,,,,
Departure,Aberdeen,15:35,Glasgow Queen Street,On time,,,,
Departure,Aberdeen,15:50,Inverness,On time,,,,
Departure,Aberdeen,16:04,Edinburgh,On time,,,,
Departure,Aberdeen,16:04,Inverurie,On time,,,,
Departure,Inverness,14:28,Aberdeen,On time,3,,,
Departure,Inverness,14:50,Glasgow Queen Street,On time,,,,
Departure,Inverness,14:50,Invergordon,On time,,,,
Departure,Inverness,15:35,Aberdeen,On time,,,,
Departure,Inverness,15:44,Glasgow Queen Street,On time,,,,
